State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Maharashtra,Pune,11971755,44634.857142857145,3227.714285714286,0.03720067510002093,0.0010196901493062793,0.05691100076881262,0.105,1.5298378487970128
Delhi,Delhi,19960711,12421.57142857143,1745.857142857143,0.10442814210094062,0.0016466288884851574,0.12392591075225735,0.495,1.1867099065352529
Maharashtra,Mumbai,12875246,19091.244897959183,1244.142857142857,0.05251598829817915,0.0015747679678151856,0.06381269356315598,0.495,1.2151098290455007
Tamil_Nadu,Chennai,4937551,13261.020408163266,1274.2857142857142,0.08873515169405778,0.0016043551440523573,0.09675998636585315,0.44,1.0904358027071785
Maharashtra,Thane,14587316,20003.16326530612,1305.857142857143,0.06171899285434322,0.0015836209453402032,0.06237904224971035,0.36,1.010694429135045
Karnataka,Bengaluru_Urban,13624407,35506.36734693878,2761.714285714286,0.06527348195638369,0.0010989029271018366,0.06987682561609185,0.1,1.0705239481905402
Andhra_Pradesh,East_Godavari,5393020,17504.795918367345,1245.2857142857142,0.06583219485115538,0.0005193584333065869,0.08122035964221537,0.495,1.2337483176104362
Andhra_Pradesh,Kurnool,4591225,6805.816326530613,775.1428571428571,0.126887979390107,0.000687477568137759,0.12026106703060725,0.26,0.947773521248015
Andhra_Pradesh,Anantapur,4523180,5931.775510204082,771.7142857142857,0.13130386546748354,0.0012045814470047712,0.1369620837902168,0.495,1.0430925495040697
West_Bengal,Kolkata,4429215,5583.285714285715,490.7142857142857,0.10174355808248645,0.0024182937499688697,0.07793129334088522,0.49,0.7659580106064707
Maharashtra,Nashik,7319991,10542.816326530612,1008.1428571428571,0.0941680627219749,0.0013488866687241718,0.09982457662299063,0.335,1.0600682836357824
Andhra_Pradesh,West_Godavari,4061068,5228.081632653061,968.5714285714286,0.1904532234874088,0.0013928805017196422,0.17995079626454413,0.495,0.9448556079516343
Andhra_Pradesh,Visakhapatnam,4749686,6438.081632653062,854.1428571428571,0.11224879806562894,0.0008187492208258783,0.125256175304278,0.495,1.115879879898972
Andhra_Pradesh,Chittoor,4601128,9134.38775510204,903.4285714285714,0.09633731045772527,0.0011872783143244555,0.08475377638953785,0.085,0.8797606657986315
Andhra_Pradesh,Guntur,5302318,7038.816326530614,700.2857142857143,0.07888262396759836,0.0007064842896167087,0.07893594677519014,0.16,1.0006759765954754
West_Bengal,North_24_Parganas,11087990,5543.632653061225,550.4285714285714,0.10920734519582034,0.00220263037972103,0.09531844176724662,0.495,0.8728207942087646
Andhra_Pradesh,S.P.S._Nellore,3256832,5485.714285714285,1050.5714285714287,0.15663140887104085,0.002002921660620167,0.19019487486801268,0.185,1.2142831137055379
Maharashtra,Raigad,3087777,5215.857142857143,495.7142857142857,0.08718864471754408,0.0014918591103190246,0.09183726089429496,0.355,1.053316761509604
Assam,Kamrup_Metropolitan,1459166,11077.510204081631,528.0,0.0450247606486222,0.00011285714675589851,0.0845669305284462,0.08,1.8782316509889991
Maharashtra,Nagpur,5252740,9561.326530612245,1102.5714285714287,0.07219574176782421,0.002942943385308396,0.10083113240245742,0.19,1.3966354515301243
Maharashtra,Jalgaon,4791614,6608.693877551021,676.5714285714286,0.08081883336233382,0.00199032709290593,0.10987290781006195,0.08,1.3594963356804528
Uttar_Pradesh,Lucknow,5643953,6786.204081632653,691.8571428571429,0.09792510358773954,0.0013966494542925268,0.10111097201393314,0.08,1.032533725362252
Andhra_Pradesh,Y.S.R._Kadapa,3160870,5522.408163265306,708.1428571428571,0.08437797467990817,0.0015206778378265575,0.118067434683247,0.325,1.3992684125346857
Tamil_Nadu,Thiruvallur,1356153,2596.551020408163,286.85714285714283,0.11863329333509973,0.0004787189585482047,-0.0015646450842624338,0.11,-0.01318892058271391
Andhra_Pradesh,Srikakulam,2861294,5825.591836734694,734.8571428571429,0.09380996207914094,0.0010338414129263688,0.10206197854396946,0.445,1.08796524678122
Maharashtra,Aurangabad,4606386,5747.5714285714275,301.85714285714283,0.07278619578173141,0.0012808086544565847,0.059107572161277655,0.495,0.8120711836421193
Andhra_Pradesh,Prakasam,3733488,7474.836734693878,808.5714285714286,0.04438152973459406,0.0009896179386516886,0.10354052788779788,0.26,2.332964377455678
Maharashtra,Kolhapur,4223670,6388.551020408163,611.2857142857143,0.056489313350280866,0.003374616813912833,0.046496062835410044,0.435,0.823094848880454
Bihar,Patna,7071903,2735.061224489796,276.14285714285717,0.14179368193297726,0.0018655780562947175,0.10561649196525645,0.495,0.7448603529117682
